respondent_id,persona_label,persona_id,A_city_tier,A_gender,A_age,A_education_level,A_stream,A_institution_type,A_family_income_band,A_family_income_score,B_prior_paid_course,B_prior_paid_score,B_exam_prep,B_acad_performance_score,B_acad_performance_label,B_self_learning_hrs,B_self_learning_score,C_career_clarity_stage,C_confusion_level_score,C_confusion_level_label,C_worry_frequency_score,C_worry_frequency_label,C_family_decision_authority,C_family_decision_score,C_trusted_info_source,C_prior_platform_use,C_biggest_challenge,C_emotional_pain_type,D_risk_tolerance,D_risk_tolerance_score,D_motivation_type,D_motivation_score,D_locus_of_control_score,D_locus_of_control_label,D_career_stage,E_career_domain_1,E_career_domain_2,E_career_domain_3,E_learning_preference,E_feat_career_match,E_feat_roadmap,E_feat_job_market,E_feat_chatbot,E_feat_college_rec,E_feat_mock_interview,E_feat_scholarship,E_feat_peer_bench,E_primary_device,E_language_preference,E_longitudinal_consent,F_wtp_monthly_band,F_wtp_score_continuous,F_pricing_model_pref,F_payment_trigger,F_will_pay_binary,F_will_use_platform,F_will_use_binary
R0001,Career Switcher,2,Tier 2,Female,22,Undergraduate,Science,Private,Rs5L-Rs10L,3,No free only,1,CUET,4,Good,5-10hrs,4,On path but feel I chose wrongly,2,Low,3,Sometimes,Equal joint decision,3,YouTube/Instagram,Yes not helpful enough,Job availability worry,Execution gap,High-risk reward,3,Mostly personal growth,2,4,Mostly Internal,Planning,Medicine,Design,Defence,Reading articles,5,3,3,3,3,3.0,5,3.0,Shared family device,English Hindi mix,Yes,Rs1000+,8.8,Monthly subscription,Teacher recommendation,1,Yes,1
R0002,Budget Conscious Learner,3,Tier 2,Other/Prefer not to say,20,Undergraduate,Arts,Central School,Below Rs2L,1,Yes before,3,None,3,Average,1-3hrs,2,"Chosen path, need plan",4,High,2,Rarely,Parents already decided,1,YouTube/Instagram,Yes helpful,Lack of info new careers,Family conflict,Stable job,1,Mostly personal growth,2,5,Internal,Decision Making,Teaching,Design,Finance,Watching videos,4,4,3,3,4,4.0,5,4.0,Laptop/Desktop,English Hindi mix,Yes,Up to Rs99,0.7,Completely free,School subscribed,1,Yes,1
R0003,Confused Explorer,0,Tier 2,Male,22,Undergraduate,Science,Not enrolled,Rs5L-Rs10L,3,Parents pay,2,Not sure,2,Below Average,1-3hrs,2,"Have interests, dont know career match",4,High,3,Sometimes,Mostly me parents input,4,Parents/relatives,No didnt know,Wrong college choice,Overwhelmed by options,High-risk reward,3,Mostly financial,3,2,Mostly External,Exploration,Science Research,Technology,Teaching,Hands-on projects,2,3,5,3,4,4.0,5,3.0,Smartphone Android,Hindi,Yes,Rs300-Rs499,5.0,Free one-time report,No trigger,1,Yes,1
R0004,Confused Explorer,0,Tier 1,Female,14,Grade 8-10,Commerce,Private,Rs2L-Rs5L,2,Parents pay,2,None,2,Below Average,3-5hrs,3,No idea where to begin,3,Medium,5,Almost Every Day,Equal joint decision,3,Parents/relatives,No didnt know,Lack of info new careers,Lacks self-awareness,High-risk reward,3,Mostly financial,3,3,Balanced,Execution,Business,Technology,Sports,Hands-on projects,3,2,2,3,3,3.0,5,4.0,Smartphone Android,Regional language,Yes,Free only,0.1,Monthly subscription,Teacher recommendation,0,No,0
R0005,Confused Explorer,0,Tier 3,Male,20,Undergraduate,Science,Private,Rs2L-Rs5L,2,Yes before,3,JEE,2,Below Average,1-3hrs,2,No idea where to begin,4,High,4,Often,Mostly me parents input,4,YouTube/Instagram,No but looked,Wrong college choice,Family conflict,Depends on factors,2,Mostly personal growth,3,3,Balanced,Exploration,Medicine,Technology,Science Research,Talking to mentor,5,4,4,4,3,4.0,5,3.0,Laptop/Desktop,Hindi,Yes,Up to Rs99,1.1,Free one-time report,Affordable price,1,Yes,1
R0006,Confused Explorer,0,Tier 1,Other/Prefer not to say,17,Grade 11-12,Science,Private,Rs5L-Rs10L,3,Parents pay,2,None,3,Average,3-5hrs,3,No idea where to begin,4,High,4,Often,Equal joint decision,3,Friends in career,Yes helpful,Dont know strengths,Information gap,Stable job,1,Balanced both,3,3,Balanced,Exploration,Design,Technology,Science Research,Live workshops,3,3,4,5,3,4.0,4,3.0,Smartphone Android,Hindi,Yes,Free only,0.0,Free one-time report,Outcome data,0,No,0
R0007,Budget Conscious Learner,3,Tier 3,Male,14,Grade 8-10,Science,Online/Distance,Rs5L-Rs10L,3,No free only,1,JEE,4,Good,3-5hrs,3,"Know what I want, not how to get there",2,Low,3,Sometimes,Equal joint decision,3,Parents/relatives,No didnt know,Lack of info new careers,Lacks self-awareness,Stable job,1,Mostly financial,4,3,Balanced,Planning,Business,Science Research,Technology,Live workshops,4,5,2,4,3,2.0,4,4.0,Laptop/Desktop,Hindi,No,Up to Rs99,0.9,Monthly subscription,Free trial,1,No,0
R0008,Budget Conscious Learner,3,Tier 1,Male,26,Postgraduate,Arts,Government/Aided,Rs10L-Rs20L,4,No free only,1,CUET,4,Good,1-3hrs,2,"Chosen path, need plan",3,Medium,3,Sometimes,Mostly me parents input,4,YouTube/Instagram,No didnt know,Wrong college choice,Financial anxiety,High-risk reward,3,Mostly personal growth,3,3,Balanced,Decision Making,Technology,Design,Teaching,Watching videos,4,5,4,2,4,5.0,5,3.0,Laptop/Desktop,English only,Yes,Up to Rs99,0.7,Completely free,School subscribed,1,No,0
R0009,Career Switcher,2,Tier 1,Female,25,Postgraduate,Commerce,Private,Rs2L-Rs5L,2,Yes before,3,None,3,Average,3-5hrs,3,On path but feel I chose wrongly,3,Medium,3,Sometimes,Equal joint decision,3,YouTube/Instagram,Yes not helpful enough,Wrong college choice,Family conflict,Depends on factors,2,Mostly personal growth,4,3,Balanced,Decision Making,Finance,Business,Law,Watching videos,2,3,4,5,4,4.0,3,3.0,Smartphone iOS,Regional language,No,Rs100-Rs299,3.3,Free one-time report,Outcome data,1,Yes,1
R0010,Focused Achiever,1,Tier 3,Male,19,Undergraduate,Science,Government/Aided,Above Rs20L,5,Yes currently,4,NEET,3,Average,More than 10hrs,5,"Know what I want, not how to get there",2,Low,2,Rarely,I decide completely,5,School counselor,Yes helpful,Too many options,Execution gap,High-risk reward,3,Balanced both,5,4,Mostly Internal,Decision Making,Technology,Science Research,Design,Watching videos,4,4,3,4,4,4.0,4,3.0,Smartphone Android,English only,No,Rs300-Rs499,5.3,Annual plan,Friend recommendation,1,Yes,1
